item,itemLabel
https://geokb.wikibase.cloud/entity/Q466,alum potassium
https://geokb.wikibase.cloud/entity/Q468,limestone
https://geokb.wikibase.cloud/entity/Q469,high calcium limestone
https://geokb.wikibase.cloud/entity/Q470,dimension limestone
https://geokb.wikibase.cloud/entity/Q471,ultra pure limestone
https://geokb.wikibase.cloud/entity/Q472,light weight aggregate
https://geokb.wikibase.cloud/entity/Q473,metal
https://geokb.wikibase.cloud/entity/Q474,marble
https://geokb.wikibase.cloud/entity/Q477,ferromanganese manganese
https://geokb.wikibase.cloud/entity/Q478,mineral pigments
https://geokb.wikibase.cloud/entity/Q479,nitrogen-nitrates
https://geokb.wikibase.cloud/entity/Q480,nonmetal
https://geokb.wikibase.cloud/entity/Q41438,travertine
https://geokb.wikibase.cloud/entity/Q41910,ash
https://geokb.wikibase.cloud/entity/Q44209,potash
https://geokb.wikibase.cloud/entity/Q162208,Andalusite
https://geokb.wikibase.cloud/entity/Q162232,Asbestos
https://geokb.wikibase.cloud/entity/Q162362,Dolomite
https://geokb.wikibase.cloud/entity/Q162418,Graphite
https://geokb.wikibase.cloud/entity/Q162486,Kyanite
https://geokb.wikibase.cloud/entity/Q162507,Magnesite
https://geokb.wikibase.cloud/entity/Q162620,Pyrite
https://geokb.wikibase.cloud/entity/Q162625,Pyrophyllite
https://geokb.wikibase.cloud/entity/Q162627,Quartz
https://geokb.wikibase.cloud/entity/Q162679,Staurolite
https://geokb.wikibase.cloud/entity/Q162738,Vermiculite
https://geokb.wikibase.cloud/entity/Q162757,Wollastonite
