ms_uri,GroupID
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3038,ALL336
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10232039,ALL336
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__68,ALL336
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__10360,ALL336
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3040,ALL343
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10184301,ALL343
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__66,ALL343
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__10390,ALL343
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134288,GROUP0
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__ban-phuc-2254,GROUP0
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02617e997aed8a915bce54540938b7568fdd82d43a87b7e5a3b7805e0b2b614e2b,GROUP1
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__tamarack-north-2221,GROUP1
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__tamarack-north,GROUP1
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02cf1ccba2286a2b5138ee9957a4fd33c971f0fdcca0b4e0b43c6015ee202ebe1b,GROUP2
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh151,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh157",GROUP3
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg068,GROUP4
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg030,GROUP5
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__nt003,GROUP6
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__nb061,GROUP7
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ac002,GROUP8
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg043,GROUP9
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju007,GROUP10
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ea034,GROUP11
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__an144,GROUP12
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bm020,GROUP13
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh216,GROUP14
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg054,GROUP15
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar035,GROUP16
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ml018,GROUP17
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__si040,GROUP18
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju009,GROUP19
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf059,GROUP20
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar018,GROUP21
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tk055,GROUP22
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__si181,GROUP23
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tc058,GROUP24
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tk119,GROUP25
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ca016,GROUP26
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf048,GROUP27
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sm001,GROUP28
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__he026,GROUP29
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg046,GROUP30
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sm041,GROUP31
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mk006,GROUP32
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc088,GROUP33
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk055,GROUP34
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cv010,GROUP35
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc049,GROUP36
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk057,GROUP37
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tc040,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tc056",GROUP38
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__kc183,GROUP39
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf006,GROUP40
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tk025,GROUP41
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc027,GROUP42
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__wi077,GROUP43
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh026,GROUP44
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc102,GROUP45
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh166,GROUP46
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tc057,GROUP47
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg062,GROUP48
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf062,GROUP49
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__de004,GROUP50
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg048,GROUP51
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk050,GROUP52
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk009,GROUP53
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh388,GROUP54
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk018,GROUP55
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc016,GROUP56
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cv020,GROUP57
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh129,GROUP58
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh218,GROUP59
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh077,GROUP60
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh209,GROUP61
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__kc085,GROUP62
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg082,GROUP63
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf017,GROUP64
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf004,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf005",GROUP65
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cr156,GROUP66
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tc059,GROUP67
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt014,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt012,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt017",GROUP68
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt011,GROUP69
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju019,GROUP70
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tk070,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tk080",GROUP71
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf069,GROUP72
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk059,GROUP73
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bm012,GROUP74
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg032,GROUP75
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh153,GROUP76
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc064,GROUP77
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__md082,GROUP78
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh226,GROUP79
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg056,GROUP80
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf018,GROUP81
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju006,GROUP82
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__si062,GROUP83
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg085,GROUP84
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sm058,GROUP85
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh156,GROUP86
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mk020,GROUP87
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar012,GROUP88
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__md034,GROUP89
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tk053,GROUP90
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc197,GROUP91
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh121,GROUP92
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg066,GROUP93
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg042,GROUP94
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju014,GROUP95
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__pr007,GROUP96
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tl015,GROUP97
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cy024,GROUP98
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju072,GROUP99
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__wi063,GROUP100
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__pe083,GROUP101
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cr021,GROUP102
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg058,GROUP103
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar071,GROUP104
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__va080,GROUP105
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ch101,GROUP106
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh164,GROUP107
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cr157,GROUP108
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf039,GROUP109
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tk061,GROUP110
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf077,GROUP111
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mc184,GROUP112
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh116,GROUP113
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ya010,GROUP114
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ml020,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ml019,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ml021",GROUP115
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sr116,GROUP116
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg055,GROUP117
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju067,GROUP118
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf066,GROUP119
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh217,GROUP120
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju024,GROUP121
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ar013,GROUP122
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__md035,GROUP123
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf073,GROUP124
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju225,GROUP125
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh268,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh377",GROUP126
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh135,GROUP127
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ac009,GROUP128
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__lh025,GROUP129
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk060,GROUP130
"https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tn105,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tn103",GROUP131
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__nb041,GROUP132
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh167,GROUP133
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg061,GROUP134
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh104,GROUP135
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk008,GROUP136
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__rm016,GROUP137
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh152,GROUP138
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf056,GROUP139
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mk008,GROUP140
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk056,GROUP141
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ty001,GROUP142
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sr209,GROUP143
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__pe121,GROUP144
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mf016,GROUP145
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mg069,GROUP146
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__cv029,GROUP147
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00017,GROUP148
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mn00008,GROUP149
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pr00004,GROUP150
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085463,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303571,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10181995,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085464",GROUP150
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00042,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00041",GROUP151
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067835,GROUP151
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pr00005,GROUP152
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00206,GROUP153
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pr00002,GROUP154
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00050,GROUP155
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00207,GROUP156
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039298,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282642",GROUP156
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00070,GROUP157
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pr00003,GROUP158
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085462,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10240470",GROUP158
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__me00002,GROUP159
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00051,GROUP160
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__491,GROUP160
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068322,GROUP160
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__iron-creek-2120,GROUP160
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00071,GROUP161
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nc00001,GROUP162
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__or00005,GROUP163
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mo00001,GROUP164
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00205,GROUP165
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mt00029,GROUP166
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__tn00001,GROUP167
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00012,GROUP168
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096766,GROUP168
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mn00003,GROUP169
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mt00002,GROUP170
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__pr00001,GROUP171
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230061,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085461",GROUP171
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mo00014,GROUP172
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mo00002,GROUP173
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10219296,GROUP173
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__higdon-2117,GROUP173
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__higdon,GROUP173
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__me00003,GROUP174
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__or00002,GROUP175
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__or00001,GROUP176
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__id00052,GROUP177
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024510,GROUP178
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__492,GROUP179
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__idaho-cobalt-ram-2119,GROUP179
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137218,GROUP180
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10112731,GROUP181
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400337,GROUP182
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10201067,GROUP183
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096324,GROUP184
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10164768,GROUP185
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067581,GROUP186
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067567,GROUP187
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10287493,GROUP188
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10128893,GROUP189
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10307881,GROUP190
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10032111,GROUP191
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016238,GROUP192
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067825,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10227981",GROUP193
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10070514,GROUP194
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10196091,GROUP195
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072135,GROUP196
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048501,GROUP197
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10029485,GROUP198
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10276299,GROUP199
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202498,GROUP200
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10310329,GROUP201
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10228347,GROUP202
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10160636,GROUP203
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096778,GROUP204
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10185025,GROUP205
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10234208,GROUP206
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067856,GROUP207
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10136475,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10111580",GROUP208
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239227,GROUP209
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10106465,GROUP210
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266049,GROUP211
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067582,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10310715",GROUP212
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142905,GROUP213
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009945,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60001557",GROUP214
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067859,GROUP215
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10080131,GROUP216
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10307855,GROUP217
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10274540,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097038",GROUP218
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308702,GROUP219
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10307810,GROUP220
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068225,GROUP221
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071388,GROUP222
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282851,GROUP223
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10252425,GROUP224
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10124707,GROUP225
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10070519,GROUP226
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280145,GROUP227
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10048644,GROUP228
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10130629,GROUP229
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067855,GROUP230
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10274286,GROUP231
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041091,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009016",GROUP232
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266743,GROUP233
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10185577,GROUP234
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10209921,GROUP235
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067862,GROUP236
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033281,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10201020",GROUP237
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068221,GROUP238
"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10000998,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10161041",GROUP239
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10070523,GROUP240
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10029487,GROUP241
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10147969,GROUP242
