record_id,GroupID
MRDS_10090571,293
MRDS_10090765,120
MRDS_10091791,304
MRDS_10093469,101
MRDS_10093585,64
MRDS_10094322,88
MRDS_10094332,76
MRDS_10094333,390
MRDS_10094384,33
MRDS_10094457,426
MRDS_10094561,365
MRDS_10094562,366
MRDS_10094610,385
MRDS_10094613,77
MRDS_10094778,229
MRDS_10094801,247
MRDS_10094802,253
MRDS_10094803,260
MRDS_10094812,107
MRDS_10096316,128
MRDS_10096376,121
MRDS_10096377,108
MRDS_10096402,220
MRDS_10096411,133
MRDS_10096465,236
MRDS_10096913,199
MRDS_10096915,309
MRDS_10096916,209
MRDS_10096918,90
MRDS_10097774,446
MRDS_10097789,460
MRDS_10098042,163
MRDS_10099710,179
MRDS_10101736,225
MRDS_10101949,143
MRDS_10101960,187
MRDS_10102001,329
MRDS_10102054,155
MRDS_10103878,330
MRDS_10105540,167
MRDS_10105541,346
MRDS_10105628,412
MRDS_10105634,244
MRDS_10105683,268
MRDS_10105723,331
MRDS_10105724,206
MRDS_10105733,92
MRDS_10105736,112
MRDS_10105738,454
MRDS_10105743,421
MRDS_10105750,6
MRDS_10105786,449
MRDS_10108489,214
MRDS_10110537,109
MRDS_10120223,423
MRDS_10120381,320
MRDS_10120431,398
MRDS_10120957,375
MRDS_10123517,277
MRDS_10123520,418
MRDS_10123742,355
MRDS_10123844,381
MRDS_10123900,450
MRDS_10123925,367
MRDS_10123938,429
MRDS_10124119,290
MRDS_10124172,144
MRDS_10124206,349
MRDS_10124278,274
MRDS_10124396,328
MRDS_10124501,200
MRDS_10124840,201
MRDS_10124907,246
MRDS_10124992,172
MRDS_10134515,442
MRDS_10135284,370
MRDS_10143751,360
MRDS_10144468,254
MRDS_10144801,396
MRDS_10144857,324
MRDS_10145062,437
MRDS_10145076,112
MRDS_10147889,382
MRDS_10147976,282
MRDS_10148355,104
MRDS_10148416,178
MRDS_10148514,269
MRDS_10148534,408
MRDS_10148658,438
MRDS_10148680,270
MRDS_10148796,196
MRDS_10148820,227
MRDS_10148833,222
MRDS_10148914,368
MRDS_10149006,184
MRDS_10149101,265
MRDS_10159847,116
MRDS_10168068,245
MRDS_10168818,400
MRDS_10168879,314
MRDS_10168954,194
MRDS_10168971,406
MRDS_10169180,242
MRDS_10169423,312
MRDS_10171968,383
MRDS_10171994,369
MRDS_10172070,231
MRDS_10172161,185
MRDS_10172340,357
MRDS_10172490,323
MRDS_10172722,188
MRDS_10172757,326
MRDS_10172797,356
MRDS_10172916,310
MRDS_10172922,377
MRDS_10172957,340
MRDS_10173057,334
MRDS_10173060,332
MRDS_10173087,420
MRDS_10173121,411
MRDS_10173129,292
MRDS_10173159,434
MRDS_10173200,404
MRDS_10173284,344
MRDS_10173292,335
MRDS_10173343,283
MRDS_10173369,96
MRDS_10192777,342
MRDS_10193196,458
MRDS_10193322,350
MRDS_10193406,112
MRDS_10193832,32
MRDS_10196420,182
MRDS_10196539,302
MRDS_10196592,203
MRDS_10196647,493
MRDS_10196683,207
MRDS_10196701,91
MRDS_10196722,181
MRDS_10196734,176
MRDS_10196813,285
MRDS_10196858,82
MRDS_10196905,267
MRDS_10196947,104
MRDS_10197024,140
MRDS_10197089,374
MRDS_10197093,353
MRDS_10197118,352
MRDS_10197173,153
MRDS_10197228,401
MRDS_10197289,226
MRDS_10197331,304
MRDS_10197394,291
MRDS_10197401,240
MRDS_10197580,394
MRDS_10197623,80
MRDS_10197696,189
MRDS_10207688,213
MRDS_10208374,354
MRDS_10216497,413
MRDS_10216513,391
MRDS_10216544,174
MRDS_10216548,261
MRDS_10216585,193
MRDS_10216924,16
MRDS_10217009,7
MRDS_10217420,362
MRDS_10217544,243
MRDS_10217670,279
MRDS_10217807,345
MRDS_10217812,192
MRDS_10220712,351
MRDS_10220784,371
MRDS_10220827,403
MRDS_10220874,216
MRDS_10220896,286
MRDS_10220939,281
MRDS_10220973,211
MRDS_10221173,299
MRDS_10221540,259
MRDS_10221643,252
MRDS_10221899,327
MRDS_10241821,52
MRDS_10241846,31
MRDS_10241897,295
MRDS_10242054,376
MRDS_10242150,336
MRDS_10244639,217
MRDS_10245173,379
MRDS_10245608,455
MRDS_10245697,388
MRDS_10245977,256
MRDS_10246079,137
MRDS_10246099,83
MRDS_10265350,255
MRDS_10266461,175
MRDS_10266495,392
MRDS_10269122,204
MRDS_10269164,177
MRDS_10269272,317
MRDS_10269347,448
MRDS_10269431,380
MRDS_10269724,416
MRDS_10269907,170
MRDS_10269954,257
MRDS_10269956,212
MRDS_10270010,271
MRDS_10270097,372
MRDS_10270380,180
MRDS_10270473,319
MRDS_10270495,189
MRDS_10270668,337
MRDS_10289747,622
MRDS_10289819,208
MRDS_10289948,378
MRDS_10290098,250
MRDS_10290310,387
MRDS_10290747,215
MRDS_10290978,427
MRDS_10291042,436
MRDS_10293438,198
MRDS_10293460,301
MRDS_10293555,333
MRDS_10293894,373
MRDS_10293898,339
MRDS_10293938,359
MRDS_10294009,405
MRDS_10294128,417
MRDS_10294217,230
MRDS_10294327,289
MRDS_10294384,164
MRDS_10294648,131
MRDS_10294674,456
MRDS_10294691,558
MRDS_10294713,453
MRDS_10294883,263
MRDS_10294903,414
MRDS_10294904,428
MRDS_60000023,348
MRDS_60000034,451
MRDS_60000346,321
MRDS_60000357,297
MRDS_60000385,422
USMIN_ID00047,621
USMIN_ID00049,624
USMIN_MT00027,625
USMIN_MT00028,626
